Pathway	Ligand	Receptor	LR_pairs
ActivinA	INHBA	ACVR1B_ACVR2A	INHBA->ACVR1B_ACVR2A
LIF	LIF	IL6ST_LIFR	LIF->IL6ST_LIFR
LTA	LTA	TNFRSF1A	LTA->TNFRSF1A
LTA	LTA	TNFRSF1B	LTA->TNFRSF1B
LTA	LTA	TNFRSF14	LTA->TNFRSF14
NO	NOS2	GUCY1A1_GUCY1B1	NOS2->GUCY1A1_GUCY1B1
NO	NOS2	GUCY1A2_GUCY1B1	NOS2->GUCY1A2_GUCY1B1
NO	NOS3	GUCY1A1_GUCY1B1	NOS3->GUCY1A1_GUCY1B1
NO	NOS3	GUCY1A2_GUCY1B1	NOS3->GUCY1A2_GUCY1B1
OSM	OSM	IL6ST_LIFR	OSM->IL6ST_LIFR
OSM	OSM	IL6ST_OSMR	OSM->IL6ST_OSMR
TGFB1	TGFB1	ACVR1_TGFBR1_TGFBR2	TGFB1->ACVR1_TGFBR1_TGFBR2
TGFB1	TGFB1	TGFBR1_TGFBR2	TGFB1->TGFBR1_TGFBR2
TGFB1	TGFB1	ACVR1C_TGFBR2	TGFB1->ACVR1C_TGFBR2
TGFB1	TGFB1	ACVR1B_TGFBR2	TGFB1->ACVR1B_TGFBR2
TGFB3	TGFB3	ACVR1B_TGFBR2	TGFB3->ACVR1B_TGFBR2
TGFB3	TGFB3	TGFBR1_TGFBR2	TGFB3->TGFBR1_TGFBR2
TGFB3	TGFB3	ACVR1_TGFBR1_TGFBR2	TGFB3->ACVR1_TGFBR1_TGFBR2
TGFB3	TGFB3	ACVR1C_TGFBR2	TGFB3->ACVR1C_TGFBR2
TNFA	TNF	TNFRSF1A	TNF->TNFRSF1A
TNFA	TNF	TNFRSF1B	TNF->TNFRSF1B
TRAIL	TNFSF10	TNFRSF10A	TNFSF10->TNFRSF10A
TRAIL	TNFSF10	TNFRSF10B	TNFSF10->TNFRSF10B
TWEAK	TNFSF12	TNFRSF12A	TNFSF12->TNFRSF12A
VEGFA	VEGFA	FLT1_KDR	VEGFA->FLT1_KDR
VEGFA	VEGFA	FLT1	VEGFA->FLT1
VEGFA	VEGFA	KDR	VEGFA->KDR
WNT3A	WNT3A	FZD10_LRP5	WNT3A->FZD10_LRP5
WNT3A	WNT3A	FZD1_LRP5	WNT3A->FZD1_LRP5
WNT3A	WNT3A	FZD5_LRP5	WNT3A->FZD5_LRP5
WNT3A	WNT3A	FZD2_LRP5	WNT3A->FZD2_LRP5
WNT3A	WNT3A	FZD3_LRP5	WNT3A->FZD3_LRP5
WNT3A	WNT3A	FZD4_LRP5	WNT3A->FZD4_LRP5
WNT3A	WNT3A	FZD9_LRP5	WNT3A->FZD9_LRP5
WNT3A	WNT3A	FZD6_LRP5	WNT3A->FZD6_LRP5
WNT3A	WNT3A	FZD7_LRP5	WNT3A->FZD7_LRP5
WNT3A	WNT3A	FZD8_LRP5	WNT3A->FZD8_LRP5
WNT3A	WNT3A	FZD1_LRP6	WNT3A->FZD1_LRP6
WNT3A	WNT3A	FZD10_LRP6	WNT3A->FZD10_LRP6
WNT3A	WNT3A	FZD2_LRP6	WNT3A->FZD2_LRP6
WNT3A	WNT3A	FZD3_LRP6	WNT3A->FZD3_LRP6
WNT3A	WNT3A	FZD4_LRP6	WNT3A->FZD4_LRP6
WNT3A	WNT3A	FZD5_LRP6	WNT3A->FZD5_LRP6
WNT3A	WNT3A	FZD6_LRP6	WNT3A->FZD6_LRP6
WNT3A	WNT3A	FZD7_LRP6	WNT3A->FZD7_LRP6
WNT3A	WNT3A	FZD8_LRP6	WNT3A->FZD8_LRP6
WNT3A	WNT3A	FZD9_LRP6	WNT3A->FZD9_LRP6
